Type	IRI	Status	Label
Class	http://purl.obolibrary.org/obo/OBI_0001781	metadata complete	CCL9/MIP-1g release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0200100	pending final vetting	canonical variate analysis
Class	http://purl.obolibrary.org/obo/OBI_0200102	pending final vetting	regression analysis method
Class	http://purl.obolibrary.org/obo/OBI_0200101	pending final vetting	linear discriminant functional analysis
Class	http://purl.obolibrary.org/obo/OBI_0200104	pending final vetting	principal component regression
Class	http://purl.obolibrary.org/obo/OBI_0200103	pending final vetting	multiple linear regression analysis
Class	http://purl.obolibrary.org/obo/OBI_0200106	pending final vetting	discriminant analysis
Class	http://purl.obolibrary.org/obo/OBI_0200105	pending final vetting	partial least square regression analysis
Class	http://purl.obolibrary.org/obo/OBI_0200108	ready for release	eh transformation
Class	http://purl.obolibrary.org/obo/OBI_0200107	pending final vetting	partial least square discriminant analysis
Class	http://purl.obolibrary.org/obo/OBI_0001793	metadata complete	lymphotoxin A/TNFb release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001794	metadata complete	lymphotoxin A/TNFb release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001795	metadata complete	CXCL10/IP-10 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001796	metadata complete	CXCL10/IP-10 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001797	metadata complete	IL-9 release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001798	metadata complete	IL-9 release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001799	metadata complete	IL-9 release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0000469	metadata complete	solvent mixer
Class	http://purl.obolibrary.org/obo/OBI_0000468	metadata complete	protein column
Class	http://purl.obolibrary.org/obo/OBI_0000467	metadata complete	Bruker US 2 NMR magnet
Class	http://purl.obolibrary.org/obo/OBI_0000466	metadata complete	thermal conductivity detector
Class	http://purl.obolibrary.org/obo/OBI_0000465	metadata complete	organic acid column
Class	http://purl.obolibrary.org/obo/OBI_0000464	metadata complete	Bruker autosampler
Class	http://purl.obolibrary.org/obo/OBI_0001790	metadata complete	CCL5/RANTES release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000463	metadata complete	column chromatography detector
Class	http://purl.obolibrary.org/obo/OBI_0001791	metadata complete	lymphotoxin A/TNFb release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001792	metadata complete	CCL3/MIP-1a release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0000471	ready for release	study design execution
Class	http://purl.obolibrary.org/obo/OBI_0000470	metadata complete	mass spectrometry assay
Class	http://purl.obolibrary.org/obo/OBI_0000479	metadata complete	solid NMR probe
Class	http://purl.obolibrary.org/obo/OBI_0000478	metadata complete	column connector
Class	http://purl.obolibrary.org/obo/OBI_0000477	metadata complete	Varian GEMINI spectrometer
Class	http://purl.obolibrary.org/obo/OBI_0000476	metadata complete	manual injection system
Class	http://purl.obolibrary.org/obo/OBI_0000475	metadata complete	Bruker AutoClean system
Class	http://purl.obolibrary.org/obo/OBI_0000474	metadata complete	nano pump system
Class	http://purl.obolibrary.org/obo/OBI_0000473	metadata complete	Bruker NMR Case sample changer
Class	http://purl.obolibrary.org/obo/OBI_0000483	metadata complete	APOLLO console
Class	http://purl.obolibrary.org/obo/OBI_0000482	metadata complete	normal phase column
Class	http://purl.obolibrary.org/obo/OBI_0000481	metadata complete	chromatography detector
Class	http://purl.obolibrary.org/obo/OBI_0000480	metadata complete	Bruker high resolution probe
Class	http://purl.obolibrary.org/obo/OBI_0000489	metadata complete	nitrogen phosphorous detector
Class	http://purl.obolibrary.org/obo/OBI_0000487	metadata complete	fourier transformation NMR instrument
Class	http://purl.obolibrary.org/obo/OBI_0000486	metadata complete	continuous wave NMR instrument
Class	http://purl.obolibrary.org/obo/OBI_0000485	metadata complete	chromatography instrument
Class	http://purl.obolibrary.org/obo/OBI_0000484	metadata complete	NMR sample holder
Class	http://purl.obolibrary.org/obo/PATO_0000122		length
Class	http://purl.obolibrary.org/obo/OBI_0001740	metadata complete	off rate|quenching|1/s
Class	http://purl.obolibrary.org/obo/OBI_0001741	metadata complete	on rate|surface plasmon resonance (SPR)|M^-1s^-1
Class	http://purl.obolibrary.org/obo/OBI_0001742	metadata complete	on rate|quenching|M^-1s^-1
Class	http://purl.obolibrary.org/obo/OBI_0001743	metadata complete	IL-1b release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001744	metadata complete	IL-1a release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001745	metadata complete	IL-1a release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0000413	metadata complete	cell cycle synchronization
Class	http://purl.obolibrary.org/obo/OBI_0000411	metadata incomplete	cloning vector role
Class	http://purl.obolibrary.org/obo/OBI_0000410	metadata complete	recombinant plasmid
Class	http://purl.obolibrary.org/obo/GO_0035398		helper T cell enhancement of T cell mediated immune response
Class	http://purl.obolibrary.org/obo/GO_0035399		helper T cell enhancement of B cell mediated immune response
Class	http://purl.obolibrary.org/obo/GO_0035397		helper T cell enhancement of adaptive immune response
Class	http://purl.obolibrary.org/obo/OBI_0000419	pending final vetting	reverse transcriptase
Class	http://purl.obolibrary.org/obo/OBI_0000418	metadata incomplete	measuring glucose concentration in blood serum
Class	http://purl.obolibrary.org/obo/OBI_0000416	organizational term	cloning insert role
Class	http://purl.obolibrary.org/obo/OBI_0000415	metadata incomplete	polymerase chain reaction
Class	http://purl.obolibrary.org/obo/OBI_0001746	metadata complete	IL-1a release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/OBI_0001747	metadata complete	IL-1a release|cytometric bead array
Class	http://purl.obolibrary.org/obo/OBI_0001748	metadata complete	IFNb release|ELISPOT
Class	http://purl.obolibrary.org/obo/OBI_0001749	metadata complete	IFNb release|ICS
Class	http://purl.obolibrary.org/obo/GO_0034061		DNA polymerase activity
Class	http://purl.obolibrary.org/obo/GO_0035393		chemokine (C-X-C motif) ligand 9 production
Class	http://purl.obolibrary.org/obo/OBI_0001750	metadata complete	G-CSF release|ICS
Class	http://purl.obolibrary.org/obo/OBI_0001751	metadata complete	IFNb release|ELISA
Class	http://purl.obolibrary.org/obo/OBI_0001752	metadata complete	G-CSF release|RNA/DNA detection
Class	http://purl.obolibrary.org/obo/SO_0001248		assembly
Class	http://purl.obolibrary.org/obo/OBI_0001753	metadata complete	G-CSF release|ELISPOT
