ID	LABEL
CL:0000010	
CLO:0000001	cell line cell
CLO:0000018	mortal cell line cell
CLO:0000019	immortal cell line cell
CLO:0000031	cell line
CLO:0009828	immortal cell line
CLO:0009829	mortal cell line
OBI:0100060	cultured cell population
