OBI ID	IEDB alternative term	RDFS Label	Textual Definition	Logical Definition Type	Parent	Technique	Input	Reagent	MHC Source	Biological Process	BCell Process Result	TCell Process Result	Output	Unit	Term Editor	Definition Source
OBI:0001268	IL-12 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001269	degranulation|biological activity	biological activity assay measuring epitope specific cytotoxic T cell degranulation	A T cell epitope dependent biological activity assay that detects cytotoxic T cell degranulation.	equivalent	assay measuring T cell epitope specific biological activity					cytotoxic T cell degranulation					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001270	TGFb release|bioassay	cell culture analyte detection bioassay measuring epitope specific transforming growth factor-beta production by T cells	An assay of epitope specific transforming growth factor-beta production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific transforming growth factor-beta production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001272	TNF release|ELISPOT	ELISPOT assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	An assay of epitope specific tumor necrosis factor superfamily cytokine production by T cells that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001273	IL-5 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001276	CCL1/TCA-3 release|biological activity	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	A T cell epitope specific cytokine production assay that detects production of chemokine (C-C motif) ligand 1 by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					chemokine (C-C motif) ligand 1 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001277	IL-2 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001279	IL-22 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-22 production by T cells	An assay of epitope specific interleukin-22 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-22 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001280	IL-16 release|biological activity	biological activity assay measuring epitope specific interleukin-16 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-16 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-16 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001281	CXCL10/IP-10 release|ELISA	ELISA measuring epitope specific IP-10 production by T cells	An assay of epitope specific IP-10 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific IP-10 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001283	IL-15 release|ELISA	ELISA measuring epitope specific interleukin-15 production by T cells	An assay of epitope specific interleukin-15 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific interleukin-15 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001284	IL-12 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-12 production by T cells	An assay of epitope specific interleukin-12 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-12 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001288	lymphotoxin A/TNFb release|ELISA	ELISA measuring epitope specific lymphotoxin A production by T cells	An assay of epitope specific lymphotoxin A production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific lymphotoxin A production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001289	IL-5 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001291	IL-17 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-17 production by T cells	An assay of epitope specific interleukin-17 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-17 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001292	IL-15 release|biological activity	biological activity assay measuring epitope specific interleukin-15 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-15 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-15 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001295	IL-17 release|biological activity	biological activity assay measuring epitope specific interleukin-17 production by T cells	A T cell epitope specific cytokine production assay that detects interleukin-17 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					interleukin-17 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001296	IL-17 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-17 production by T cells	An assay of epitope specific interleukin-17 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-17 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001297	IL-10 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-10 production by T cells	An assay of epitope specific interleukin-10 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-10 production by T cells	cytometric bead array assay									IEDB	IEDB
OBI:0001298	IL-21 release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific interleukin-21 production by T cells	An assay of epitope specific interleukin-21 production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific interleukin-21 production by T cells	detection of specific nucleic acid polymers with complementary probes									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001299	IL-5 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-5 production by T cells	An assay of epitope specific interleukin-5 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-5 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001300	IL-2 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-2 production by T cells	An assay of epitope specific interleukin-2 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-2 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001301	IL-16 release|bioassay	cell culture analyte detection bioassay measuring epitope specific interleukin-16 production by T cells	An assay of epitope specific interleukin-16 production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interleukin-16 production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001302	CCL3/MIP-1a release|ELISA	ELISA measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	An assay of epitope specific macrophage inflammatory protein-1 alpha production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific macrophage inflammatory protein-1 alpha production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001303	GM-CSF release|ICS	intracellular cytokine staining assay measuring epitope specific granulocyte macrophage colony-stimulating factor production by T cells	An assay of epitope specific granulocyte macrophage colony stimulating factor production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific granulocyte macrophage colony stimulating factor production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001308	CXCL10/IP-10 release|biological activity	biological activity assay measuring epitope specific IP-10 production by T cells	A T cell epitope specific cytokine production assay that detects IP-10 production by T cells.	equivalent	biological activity assay measuring epitope specific cytokine production by T cells					IP-10 production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001309	IL-13 release|ICS	intracellular cytokine staining assay measuring epitope specific interleukin-13 production by T cells	An assay of epitope specific interleukin-13 production by T cells that uses an intracellular cytokine staining assay.	equivalent	biological activity assay measuring epitope specific interleukin-13 production by T cells	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001311	3D structure|x-ray crystallography|angstroms	X-ray crystallography assay determining the 3D structure of a T cell epitope:MHC:TCR complex	A T cell epitope 3D structure determination assay that uses an X-ray crystallography assay.	equivalent	3D structure determining assay of a T cell epitope:MHC:TCR complex	X-ray crystallography assay								angstrom	"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001315	CCL1/TCA-3 release|ELISA	ELISA measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	An assay of epitope specific chemokine (C-C motif) ligand 1 production by T cells that uses an ELISA.	equivalent	biological activity assay measuring epitope specific chemokine (C-C motif) ligand 1 production by T cells	enzyme-linked immunosorbent assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001317	T cell- APC binding|binding assay	flow cytometry assay measuring cell-cell binding of a T cell epitope:MHC:TCR complex	A T cell epitope qualitative binding assay that uses a cell-cell binding detection by flow cytometry assay.	equivalent	assay measuring qualitiative binding of a T cell epitope:MHC:TCR complex	flow cytometry assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001319	IFNg release|bioassay	cell culture analyte detection bioassay measuring epitope specific interferon-gamma production by T cells	An assay of epitope specific interferon-gamma production by T cells that uses a cell culture analyte detection bioassay.	equivalent	biological activity assay measuring epitope specific interferon-gamma production by T cells	reporter cell line analyte detection bioassay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001322	granzyme B release|ELISPOT	ELISPOT assay measuring epitope specific granzyme B release by T cells	A T cell epitope specific granzyme B release assay that uses an ELISPOT assay.	equivalent	biological activity assay measuring epitope specific granzyme B release by T cells	enzyme-linked immunospot assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001324	tolerance|in vivo assay	in vivo assay measuring T cell epitope specific tolerance induction	An efficacy of T cell epitope intervention experiment that uses a tolerance induction intervention experiment.	equivalent	biological activity assay measuring T cell epitope specific in vivo activity	tolerance induction intervention experiment						T cell tolerance induction			"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001325	CCL5/RANTES release|RNA/DNA detection	detection of specific nucleic acids with complementary probes assay measuring epitope specific RANTES production by T cells	An assay of epitope specific RANTES production by T cells that uses a detection of specific nucleic acids with complementary probes assay.	equivalent	biological activity assay measuring epitope specific RANTES production by T cells	detection of specific nucleic acid polymers with complementary probes									IEDB	IEDB
OBI:0001326	IL-4 release|cytometric bead array	cytometric bead array assay measuring epitope specific interleukin-4 production by T cells	An assay of epitope specific interleukin-4 production by T cells that uses a cytometric bead array assay.	equivalent	biological activity assay measuring epitope specific interleukin-4 production by T cells	cytometric bead array assay									"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
OBI:0001327	lymphotoxin A/TNFb release|biological activity	biological activity assay measuring epitope specific lymphotoxin A production by T cells	A T cell epitope specific cytokine production assay that detects lymphotoxin A production by T cells.	equivalent	biological activity assay measuring epitope specific tumor necrosis factor superfamily cytokine production by T cells					lymphotoxin A production					"PERSON:Randi Vita, Jason Greenbaum, Bjoern Peters"	IEDB
